financial_year,year_start,total_millions,act_population,trips_per_person
1976-77,1976,14.358535,,
1977-78,1977,14.64927,,
1978-79,1978,16.357580000000002,,
1979-80,1979,18.705588,,
1980-81,1980,17.956487000000003,227581.0,78.9015207772178
1981-82,1981,17.2184625,230575.25,74.67610899261737
1982-83,1982,20.372946,236187.0,86.25769411525613
1983-84,1983,22.874794,242650.75,94.27044424960566
1984-85,1984,24.006552,248392.75,96.64755513194326
1985-86,1985,23.088509,256387.25,90.05326512921371
1986-87,1986,24.1263,263065.75,91.71205297534932
1987-88,1987,24.775755,269812.0,91.82599365484114
1988-89,1988,24.577712,274872.75,89.41487288208816
1989-90,1989,25.093537,279889.75,89.65507668644528
1990-91,1990,24.979824,286325.75,87.242673772792
1991-92,1991,24.384794999999997,292602.75,83.33754552887831
1992-93,1992,23.730355,297890.75,79.66126843482049
1993-94,1993,23.101305,301031.75,76.74042688188206
1994-95,1994,23.964,304412.25,78.72219334143091
1995-96,1995,24.001,308010.75,77.9226049740147
1996-97,1996,24.0903,310581.25,77.56521039180569
1997-98,1997,23.1834525,310774.25,74.59901359266412
1998-99,1998,21.634482870000003,312917.25,69.13803208356204
1999-00,1999,21.285106128,316057.5,67.34567642913078
2000-01,2000,20.57241024282015,319771.0,64.33482161553158
2001-02,2001,20.510035373848364,323407.5,63.41855205537399
2002-03,2002,20.972404181116477,326411.25,64.25147473047107
2003-04,2003,20.68523462242209,328120.75,63.04153157769538
2004-05,2004,20.351727029169048,330236.0,61.62782685464047
2005-06,2005,21.07013249041355,333787.75,63.12434321035913
2006-07,2006,20.76409813344584,339529.0,61.15559534957497
2007-08,2007,20.78033975882617,345590.5,60.129950790968415
2008-09,2008,20.75687473985904,352195.0,58.93574508399904
2009-10,2009,19.379360000000005,359074.0,53.970379364699205
2010-11,2010,18.816864,365598.25,51.46869275222187
2011-12,2011,18.751600000000003,373337.5,50.22693943147957
2012-13,2012,18.7671,380934.25,49.265982252842846
2013-14,2013,18.3696,386999.25,47.46675865650902
2014-15,2014,18.16817,393234.75,46.20184253807681
2015-16,2015,18.338492,400297.75,45.81212859677578
2016-17,2016,18.771696,410745.25,45.70155345679591
2017-18,2017,19.403249999999996,422020.25,45.977059157706286
2018-19,2018,20.658875,432176.5,47.80193971675924
2019-20,2019,18.582336725,441709.5,42.0691353140469
2020-21,2020,15.518712925807248,448870.0,34.572844979186065
2021-22,2021,12.293849999999996,457555.25,26.868558496487573
2022-23,2022,18.221392199999997,467603.25,38.96763377927761
2023-24,2023,20.4441416,476164.0,42.93508455070101
